  10   164968.244000
  110   148044.914000
  210   113642.538000
  310   42801.314000
  410   23721.280000
  510   1959.030000
  610   1779.540000
  710   1787.584000
  725   1831.526000
  740   1843.958000
  755   2075.274000
  770   1829.648000
  785   1793.556000
  800   1917.242000
  815   1912.974000
  830   1650.666000
  845   1597.350000
  860   1797.238000
  875   1772.710000
  890   1809.492000
  905   1779.276000
  920   1656.466000
  935   1647.790000
  950   1744.900000
  965   1825.678000
  980   1812.344000
  995   1768.980000
