  10   118627.216000
  110   141779.766000
  210   113742.020000
  310   45674.196000
  410   1794.172000
  510   1926.284000
  610   2226.474000
  710   1736.546000
  725   1870.696000
  740   1571.392000
  755   1750.748000
  770   1787.328000
  785   1807.040000
  800   1734.948000
  815   1685.266000
  830   1659.536000
  845   1620.092000
  860   1802.456000
  875   1878.364000
  890   1630.378000
  905   1754.786000
  920   1669.476000
  935   1692.036000
  950   1803.056000
  965   1839.672000
  980   1824.032000
  995   1752.278000
