  10   336134.000000
  110   288656.000000
  210   238504.000000
  310   85992.000000
  410   41673.000000
  510   4917.000000
  610   3219.000000
  710   5019.000000
  725   3660.000000
  740   4071.000000
  755   5229.000000
  770   3876.000000
  785   2697.000000
  800   5258.000000
  815   3424.000000
  830   3992.000000
  845   2490.000000
  860   5851.000000
  875   3108.000000
  890   3355.000000
  905   2861.000000
  920   3079.000000
  935   2610.000000
  950   3084.000000
  965   4926.000000
  980   3361.000000
  995   3175.000000
